GaiaDR3Id,Gaia-RA,Gaia-DEC,Gaia-G,Gaia-BP,Gaia-RP,plx,plx-err,pmra,pmra-err,pmdec,pmdec-err,ellr,Flamesfield,SpecName,N-Spec,combSN,aveVel,vel-err,vel-var,aveFeH,feh-err,feh-var,z,mem,feh-rel
5003197958479280000,14.9507541776,-33.8396460538,17.2979,17.9869,16.5064,-0.0096,0.0744,0.107,0.061,-0.199,0.045,0.2131,2017.sclpm,AT06827,1,102.55,92.83,0.17,0.0,-0.95,0.025,0.0,1.069,m,1
5003200020063612160,14.9512733254,-33.7199480919,19.8562,20.1663,19.3829,-0.1731,0.3984,0.348,0.326,0.059,0.236,0.0776,2018.asa.c17,AS5442,1,11.73,114.53,1.96,0.0,-1.43,0.261,0.0,2.138,m,1
5027219293952904192,14.9513346958,-33.681566233,19.5069,19.9917,18.8924,0.0749,0.3042,0.207,0.292,-0.539,0.187,0.0798,2018.asa.c17,AS5060,1,11.41,107.04,1.6,0.0,-1.8,0.283,0.0,4.402,m,1
5003129956260183808,14.9515340068,-34.3732494108,19.7238,20.1408,19.1124,0.1212,0.5152,0.65,0.382,-0.394,0.279,0.982,2007.gb206b,scl062_07_,1,11.24,110.21,1.98,0.0,-2.03,0.318,0.0,2.110,m,1
5027231079343184768,14.951811344,-33.6766078937,19.5183,20.0803,18.939,0.7505,0.3346,-0.071,0.322,0.219,0.202,0.0825,2018.asa.c16,AS5079,1,12.38,110.18,1.44,0.0,-0.58,0.228,0.0,12.024,m,1
5027231083640304000,14.9544821638,-33.6714275278,19.6887,20.1287,19.0695,0.2036,0.3455,0.207,0.335,-0.156,0.216,0.0846,2018.asa.c17,AS5256,1,12.71,113.63,1.74,0.0,-1.01,0.228,0.0,0.402,m,1
5003193006380249472,14.9545975595,-33.9300784425,19.068,19.52,18.4794,-0.2212,0.224,0.378,0.212,-0.195,0.136,0.3391,2003.Scl07,scl_07_085,1,14.77,99.03,2.03,0.0,-2.63,0.311,0.0,3.597,m,1
5027231255438994944,14.9555314273,-33.6499237788,19.8192,20.1928,19.3204,-0.1878,0.4359,-0.194,0.405,0.038,0.267,0.1046,2018.asa.c17,AS5411,1,7.65,109.43,2.32,0.0,-1.93,0.46,0.0,0.745,m,1
5027219328312640256,14.9565057638,-33.6817450724,19.0052,19.5638,18.295,0.372,0.2153,0.249,0.18,-0.415,0.13,0.0759,2018.asa.c12a,AS0322,2,22.75,109.49,0.816,1.294,-2.71,0.2,0.131,5.385,m,1
5027231221076252416,14.9663029789,-33.6433397769,19.8287,19.9594,18.8713,-0.5784,0.424,1.106,0.388,-0.256,0.243,0.1074,2018.asa.c17,AS5376,1,9.9,114.9,2.43,0.0,-2.43,0.479,0.0,10.496,m,1
5027219328312671616,14.9672714478,-33.6707736282,19.7918,20.223,19.2788,-0.5113,0.4667,-0.028,0.383,-0.008,0.255,0.0772,2018.asa.c17,AS5379,1,8.2,95.74,4.71,0.0,-2.36,0.552,0.0,1.287,m,1
